no,effectiveDate,mid,currency
028/A/NBP/2025,02/11/2025,0.002786,KRW
029/A/NBP/2025,02/12/2025,0.002767,KRW
030/A/NBP/2025,02/13/2025,0.002758,KRW
031/A/NBP/2025,02/14/2025,0.002761,KRW
032/A/NBP/2025,02/17/2025,0.002754,KRW
033/A/NBP/2025,02/18/2025,0.002758,KRW
034/A/NBP/2025,02/19/2025,0.002767,KRW
035/A/NBP/2025,02/20/2025,0.002778,KRW
036/A/NBP/2025,02/21/2025,0.002777,KRW
037/A/NBP/2025,02/24/2025,0.002784,KRW
038/A/NBP/2025,02/25/2025,0.002753,KRW
039/A/NBP/2025,02/26/2025,0.002752,KRW
040/A/NBP/2025,02/27/2025,0.002735,KRW
041/A/NBP/2025,02/28/2025,0.002739,KRW
042/A/NBP/2025,03/03/2025,0.00275,KRW
043/A/NBP/2025,03/04/2025,0.002709,KRW
044/A/NBP/2025,03/05/2025,0.002679,KRW
045/A/NBP/2025,03/06/2025,0.002671,KRW
046/A/NBP/2025,03/07/2025,0.002663,KRW
047/A/NBP/2025,03/10/2025,0.002652,KRW
048/A/NBP/2025,03/11/2025,0.002651,KRW
049/A/NBP/2025,03/12/2025,0.002652,KRW
050/A/NBP/2025,03/13/2025,0.002651,KRW
051/A/NBP/2025,03/14/2025,0.002645,KRW
052/A/NBP/2025,03/17/2025,0.002646,KRW
053/A/NBP/2025,03/18/2025,0.002632,KRW
054/A/NBP/2025,03/19/2025,0.00264,KRW
055/A/NBP/2025,03/20/2025,0.002639,KRW
056/A/NBP/2025,03/21/2025,0.00265,KRW
057/A/NBP/2025,03/24/2025,0.002631,KRW
058/A/NBP/2025,03/25/2025,0.002628,KRW
059/A/NBP/2025,03/26/2025,0.002637,KRW
060/A/NBP/2025,03/27/2025,0.002655,KRW
061/A/NBP/2025,03/28/2025,0.002644,KRW
062/A/NBP/2025,03/31/2025,0.002623,KRW
063/A/NBP/2025,04/01/2025,0.002627,KRW
064/A/NBP/2025,04/02/2025,0.002646,KRW
065/A/NBP/2025,04/03/2025,0.002606,KRW
066/A/NBP/2025,04/04/2025,0.002671,KRW
067/A/NBP/2025,04/07/2025,0.002669,KRW
068/A/NBP/2025,04/08/2025,0.002654,KRW
069/A/NBP/2025,04/09/2025,0.002626,KRW
070/A/NBP/2025,04/10/2025,0.002637,KRW
071/A/NBP/2025,04/11/2025,0.002626,KRW
072/A/NBP/2025,04/14/2025,0.002648,KRW
073/A/NBP/2025,04/15/2025,0.002635,KRW
074/A/NBP/2025,04/16/2025,0.002662,KRW
075/A/NBP/2025,04/17/2025,0.002659,KRW
076/A/NBP/2025,04/18/2025,0.002642,KRW
077/A/NBP/2025,04/22/2025,0.002611,KRW
078/A/NBP/2025,04/23/2025,0.002637,KRW
079/A/NBP/2025,04/24/2025,0.002619,KRW
080/A/NBP/2025,04/25/2025,0.002615,KRW
081/A/NBP/2025,04/28/2025,0.00261,KRW
082/A/NBP/2025,04/29/2025,0.002612,KRW
083/A/NBP/2025,04/30/2025,0.002646,KRW
084/A/NBP/2025,05/02/2025,0.00268,KRW
085/A/NBP/2025,05/05/2025,0.002728,KRW
086/A/NBP/2025,05/06/2025,0.002731,KRW
087/A/NBP/2025,05/07/2025,0.002704,KRW
088/A/NBP/2025,05/08/2025,0.002702,KRW
089/A/NBP/2025,05/09/2025,0.002692,KRW
090/A/NBP/2025,05/12/2025,0.002679,KRW
091/A/NBP/2025,05/13/2025,0.002685,KRW
092/A/NBP/2025,05/14/2025,0.002708,KRW
093/A/NBP/2025,05/15/2025,0.002706,KRW
094/A/NBP/2025,05/16/2025,0.002713,KRW
095/A/NBP/2025,05/19/2025,0.002735,KRW
096/A/NBP/2025,05/20/2025,0.002711,KRW
097/A/NBP/2025,05/21/2025,0.002698,KRW
098/A/NBP/2025,05/22/2025,0.002713,KRW
099/A/NBP/2025,05/23/2025,0.00274,KRW
100/A/NBP/2025,05/26/2025,0.002724,KRW
101/A/NBP/2025,05/27/2025,0.002724,KRW
102/A/NBP/2025,05/28/2025,0.002733,KRW
103/A/NBP/2025,05/29/2025,0.002733,KRW
104/A/NBP/2025,05/30/2025,0.00272,KRW
105/A/NBP/2025,06/02/2025,0.00271,KRW
106/A/NBP/2025,06/03/2025,0.002724,KRW
107/A/NBP/2025,06/04/2025,0.002746,KRW
108/A/NBP/2025,06/05/2025,0.002757,KRW
109/A/NBP/2025,06/06/2025,0.002765,KRW
110/A/NBP/2025,06/09/2025,0.002765,KRW
111/A/NBP/2025,06/10/2025,0.002733,KRW
112/A/NBP/2025,06/11/2025,0.002716,KRW
113/A/NBP/2025,06/12/2025,0.002728,KRW
114/A/NBP/2025,06/13/2025,0.002712,KRW
115/A/NBP/2025,06/16/2025,0.002706,KRW
116/A/NBP/2025,06/17/2025,0.002712,KRW
117/A/NBP/2025,06/18/2025,0.0027,KRW
118/A/NBP/2025,06/20/2025,0.002708,KRW
119/A/NBP/2025,06/23/2025,0.002683,KRW
120/A/NBP/2025,06/24/2025,0.002707,KRW
121/A/NBP/2025,06/25/2025,0.002688,KRW
122/A/NBP/2025,06/26/2025,0.002675,KRW
123/A/NBP/2025,06/27/2025,0.002663,KRW
124/A/NBP/2025,06/30/2025,0.002671,KRW
125/A/NBP/2025,07/01/2025,0.002657,KRW
126/A/NBP/2025,07/02/2025,0.002656,KRW
127/A/NBP/2025,07/03/2025,0.002656,KRW
128/A/NBP/2025,07/04/2025,0.002646,KRW
129/A/NBP/2025,07/07/2025,0.002646,KRW
130/A/NBP/2025,07/08/2025,0.002641,KRW
131/A/NBP/2025,07/09/2025,0.002629,KRW
132/A/NBP/2025,07/10/2025,0.00264,KRW
133/A/NBP/2025,07/11/2025,0.002649,KRW
134/A/NBP/2025,07/14/2025,0.00264,KRW
135/A/NBP/2025,07/15/2025,0.002641,KRW
136/A/NBP/2025,07/16/2025,0.002641,KRW
137/A/NBP/2025,07/17/2025,0.002639,KRW
138/A/NBP/2025,07/18/2025,0.002626,KRW
139/A/NBP/2025,07/21/2025,0.002628,KRW
140/A/NBP/2025,07/22/2025,0.00262,KRW
141/A/NBP/2025,07/23/2025,0.002629,KRW
142/A/NBP/2025,07/24/2025,0.002639,KRW
143/A/NBP/2025,07/25/2025,0.002621,KRW
144/A/NBP/2025,07/28/2025,0.002631,KRW
145/A/NBP/2025,07/29/2025,0.002657,KRW
146/A/NBP/2025,07/30/2025,0.002677,KRW
147/A/NBP/2025,07/31/2025,0.002675,KRW
148/A/NBP/2025,08/01/2025,0.002669,KRW
149/A/NBP/2025,08/04/2025,0.002669,KRW
150/A/NBP/2025,08/05/2025,0.002664,KRW
151/A/NBP/2025,08/06/2025,0.002661,KRW
152/A/NBP/2025,08/07/2025,0.002644,KRW
153/A/NBP/2025,08/08/2025,0.00263,KRW
154/A/NBP/2025,08/11/2025,0.002625,KRW
155/A/NBP/2025,08/12/2025,0.002642,KRW
156/A/NBP/2025,08/13/2025,0.002641,KRW
157/A/NBP/2025,08/14/2025,0.002635,KRW
158/A/NBP/2025,08/18/2025,0.002629,KRW
159/A/NBP/2025,08/19/2025,0.002614,KRW
160/A/NBP/2025,08/20/2025,0.002612,KRW
161/A/NBP/2025,08/21/2025,0.002611,KRW
162/A/NBP/2025,08/22/2025,0.002646,KRW
163/A/NBP/2025,08/25/2025,0.002627,KRW
164/A/NBP/2025,08/26/2025,0.002628,KRW
165/A/NBP/2025,08/27/2025,0.002633,KRW
166/A/NBP/2025,08/28/2025,0.002642,KRW
167/A/NBP/2025,08/29/2025,0.002627,KRW
168/A/NBP/2025,09/01/2025,0.002606,KRW
169/A/NBP/2025,09/02/2025,0.002627,KRW
170/A/NBP/2025,09/03/2025,0.002629,KRW
171/A/NBP/2025,09/04/2025,0.002619,KRW
172/A/NBP/2025,09/05/2025,0.002615,KRW
173/A/NBP/2025,09/08/2025,0.002608,KRW
174/A/NBP/2025,09/09/2025,0.002607,KRW
175/A/NBP/2025,09/10/2025,0.002621,KRW
176/A/NBP/2025,09/11/2025,0.002618,KRW
177/A/NBP/2025,09/12/2025,0.002613,KRW
178/A/NBP/2025,09/15/2025,0.002607,KRW
179/A/NBP/2025,09/16/2025,0.002609,KRW
180/A/NBP/2025,09/17/2025,0.002606,KRW
181/A/NBP/2025,09/18/2025,0.002596,KRW
182/A/NBP/2025,09/19/2025,0.0026,KRW
183/A/NBP/2025,09/22/2025,0.002606,KRW
184/A/NBP/2025,09/23/2025,0.002586,KRW
185/A/NBP/2025,09/24/2025,0.002592,KRW
186/A/NBP/2025,09/25/2025,0.00259,KRW
187/A/NBP/2025,09/26/2025,0.00259,KRW
188/A/NBP/2025,09/29/2025,0.0026,KRW
189/A/NBP/2025,09/30/2025,0.002591,KRW
190/A/NBP/2025,10/01/2025,0.002582,KRW
191/A/NBP/2025,10/02/2025,0.002584,KRW
192/A/NBP/2025,10/03/2025,0.002577,KRW
193/A/NBP/2025,10/06/2025,0.002578,KRW
194/A/NBP/2025,10/07/2025,0.002581,KRW
195/A/NBP/2025,10/08/2025,0.002567,KRW
196/A/NBP/2025,10/09/2025,0.002584,KRW
197/A/NBP/2025,10/10/2025,0.002589,KRW
198/A/NBP/2025,10/13/2025,0.002574,KRW
199/A/NBP/2025,10/14/2025,0.002576,KRW
200/A/NBP/2025,10/15/2025,0.002573,KRW
201/A/NBP/2025,10/16/2025,0.002573,KRW
202/A/NBP/2025,10/17/2025,0.002554,KRW
203/A/NBP/2025,10/20/2025,0.002556,KRW
204/A/NBP/2025,10/21/2025,0.00255,KRW
205/A/NBP/2025,10/22/2025,0.002557,KRW
206/A/NBP/2025,10/23/2025,0.002538,KRW
207/A/NBP/2025,10/24/2025,0.002535,KRW
208/A/NBP/2025,10/27/2025,0.002542,KRW
209/A/NBP/2025,10/28/2025,0.00253,KRW
210/A/NBP/2025,10/29/2025,0.002554,KRW
211/A/NBP/2025,10/30/2025,0.002557,KRW
212/A/NBP/2025,10/31/2025,0.002575,KRW
213/A/NBP/2025,11/03/2025,0.002583,KRW
214/A/NBP/2025,11/04/2025,0.002572,KRW
215/A/NBP/2025,11/05/2025,0.002566,KRW
216/A/NBP/2025,11/06/2025,0.002553,KRW
217/A/NBP/2025,11/07/2025,0.002524,KRW
218/A/NBP/2025,11/10/2025,0.002518,KRW
219/A/NBP/2025,11/12/2025,0.002494,KRW
220/A/NBP/2025,11/13/2025,0.002488,KRW
221/A/NBP/2025,11/14/2025,0.002494,KRW
222/A/NBP/2025,11/17/2025,0.002491,KRW
223/A/NBP/2025,11/18/2025,0.002492,KRW
224/A/NBP/2025,11/19/2025,0.002496,KRW
225/A/NBP/2025,11/20/2025,0.002498,KRW
226/A/NBP/2025,11/21/2025,0.002499,KRW
227/A/NBP/2025,11/24/2025,0.002483,KRW
228/A/NBP/2025,11/25/2025,0.002502,KRW
229/A/NBP/2025,11/26/2025,0.002484,KRW
230/A/NBP/2025,11/27/2025,0.002497,KRW
231/A/NBP/2025,11/28/2025,0.00249,KRW
232/A/NBP/2025,12/01/2025,0.002475,KRW
233/A/NBP/2025,12/02/2025,0.002486,KRW
234/A/NBP/2025,12/03/2025,0.002479,KRW
235/A/NBP/2025,12/04/2025,0.002461,KRW
236/A/NBP/2025,12/05/2025,0.002467,KRW
237/A/NBP/2025,12/08/2025,0.002474,KRW
238/A/NBP/2025,12/09/2025,0.002475,KRW
239/A/NBP/2025,12/10/2025,0.002471,KRW
240/A/NBP/2025,12/11/2025,0.002455,KRW
241/A/NBP/2025,12/12/2025,0.002438,KRW
242/A/NBP/2025,12/15/2025,0.002454,KRW
243/A/NBP/2025,12/16/2025,0.002436,KRW
244/A/NBP/2025,12/17/2025,0.002433,KRW
245/A/NBP/2025,12/18/2025,0.002431,KRW
246/A/NBP/2025,12/19/2025,0.002431,KRW
247/A/NBP/2025,12/22/2025,0.002425,KRW
248/A/NBP/2025,12/23/2025,0.00242,KRW
249/A/NBP/2025,12/29/2025,0.002499,KRW
250/A/NBP/2025,12/30/2025,0.002483,KRW
251/A/NBP/2025,12/31/2025,0.002496,KRW
